#Strain	Comment
FFR 444	FFR Cooperative, PVP 7600006
FFR 464	FFR Cooperative, PVP 9000160
FFR 474	FFR Cooperative, PVP 9600281
FFR 493	PVP 9500148, Southern States Seed Co.
FFR 500	FFR Cooperative, PVP 9300203
FFR 514	FFR Cooperative, PVP 9600282
FFR 542	FFR Cooperative, PVP 9400203
FFR 544	Southern States Seed Co.
FFR 553	FFR Cooperative, PVP 9500149
FFR 555	FFR Cooperative, PVP 7600005
FFR 560	FFR Cooperative, PVP 8300002
FFR 561	Southern States Seed Co., PVP 008700012, FFR Cooperative
FFR 563	FFR Cooperative, PVP 9400204
FFR 565	FFR Cooperative, PVP 8800134
FFR 583	FFR Cooperative, PVP 9500150
FFR 595	FFR Cooperative, PVP 9200185
FFR 606	FFR Cooperative, PVP 9000191
FFR 646	FFR Cooperative, PVP 9000192
FFR 663	FFR Cooperative, PVP 9500151
FFR 666	FFR Cooperative, PVP 7300017
FFR 668	FFR Cooperative, PVP 8100140
FFR 695	FFR Cooperative, PVP 9100130
FFR 731	FFR Cooperative, PVP 9300204
FFR 777	FFR Cooperative, PVP 7300018
Fiskeby	Introduction; PI accession uncertain
Fiskeby III	Introduction; Introduced from Sweden, PI 196491
Fiskeby V	Introduction; Holmberg, Ostergotland, Sweden
Flambeau	Introduction; Introduced from USSR ca. 1955
Flint	PVP 9600408
Flyer	PVP 8700125; Literature says Asgrow A3127 x L24. L24 is closely related to L24A which was released as Williams 82. PVP says Asgrow A3127 x Williams 82.
Forrest	PVP 7300058
Franklin	L12 isoline of Clark 63 equivalent to Clark 63
Freeborn	Minnesota Agricultural Experiment Station, PVP 9600037
Funk_s Delicious	Tofu variety
G. soja	PI accession uncertain
G01-PR16	F6, GP-371
G01-PR33	doi: 10.3198/jpr2012.11.0052crg
G03-3101	https://doi.org/10.1002/aocs.12261
G07-6012	GP-394
G07-6029	GP-395
G08PR-394	GP-380, F5
G09PR-80	GP-381, F5
G11-1614R2	F5d, RR2
G12-1475R2	F5d, RR2
G12-2062R2	F5d, RR2, High Protein or Oil
G12-2103R2	F5d, RR2, High Protein or Oil
G12-2259R2	F5d, RR2, High Protein or Oil
G12-6386	F5d, Conv., High Protein or Oil
G12-6543	F5d, Conv., High Protein or Oil
G13-1269R2	F5d, RR2, High Protein or Oil
G13-2021R2	F5d, RR2, High Protein or Oil
G13-2114R2	F5d, RR2
G13-2369R2	F6d, RR2
G13-2454R2	F6d, RR2
G13-2755R2	F7d, RR2
G13-2842R2	F7d, RR2, High Protein or Oil
G13-2947R2	F7d, RR2
G13-3461R2	F7d, RR2
G13-6241	F5d, Conv., 19% exotic
G13-6299	F5d, Conv., 19 % exotic
G14-1408R2	F5d, RR2
G14-1632R2	F5d, RR2
G14-1665R2	F5d, RR2
G14-1755R2	F5d, RR2
G14-2478R2	F5d, RR2
G14-2622R2	F6d, RR2
G14-2737R2	F6d, RR2
G14-2888R2	F6d, RR2, High Protein or Oil
G14-3268R2	F6d, RR2
G14-3624R2	F6d, RR2
G14-4098R2	F6d, RR2
G14-4191R2	F6d, RR2
G14-4316R2	F6d, RR2
G14-4364R2	F6d, RR2
G14-4396R2	F6d, RR2, High Protein or Oil
G14-4515R2	F6d, RR2, High Protein or Oil
G14-6063	F5d, Conv., 25% exotic
G15LL-9205	LL
G15PR-302	BC4F3d, Conv., HO, Benning low lin/low palm
G15PR-340	BC4F3d
G15PR-342	BC4F3d, Conv., HO, Benning low lin/low palm
G15PRLL-953	F6d, LL
G15PRLL-989	F6d, LL
G16-4162R2	RR2
G16-5967R2	Selection
G16LL-10015	Liberty Link
G16LL-10180	Liberty Link
G16LL-10193	Liberty Link
G16LL-10316	Liberty Link
G17-7222HOLNR2	Selection
G17-7329HOLNR2	Selection
G17-7384HOLNR2	Selection
G17PR-1039HOLNR1	Selection
Gatan	Selected from Otootan
GCS Raydor	Gold Country Seed, Inc., PVP 9700248
GCS6009RR	from Gold Country Seed, from Gold Country Seed
General	PVP 9600121
Georgia 731	Selection from PI 95719
GH03-1	Selection from Golden Harvest 24040
GH03-3	Selection from Golden Harvest 2285
GK-67	Agratech Seeds Inc., PVP 8200142
GL 2250	Soybean Research Foundation, Inc., PVP 8100114
GL 2552	Soybean Research Foundation, Inc., PVP 8300094
Glacier	PVP 9600038
Glenn	Virginia Tech Intellectual Properties, Inc., PVP 200900325
Glenwood	PVP 8700209
GLL0050	Bayer CropScience LP, PVP 201600112
GLL0059	Bayer CropScience LP, PVP 201600113
Gnome	PVP 8000033, 
Gnome 85	PVP 8700097
Gnome Rps1-k	PVP 8700097
GO1010024	Syngenta Crop Protection AG, PVP 201300387
GO1010146	Syngenta Crop Protection AG, PVP 201300384
GO1110272	Syngenta Crop Protection AG, PVP 201400271
GO1112037	Syngenta Crop Protection AG, PVP 201400272
Gogaku	Introduction
Goldsoy	Selection from OAC 211 ca. 1940  
GoSoy 54G16	Commercial Check
GP-164	F3, Resistant to SCN Races 2, 3, 5 and 14.
GR20521	Bayer CropScience LP, PVP 201700127
GR8936	Ohio Agricultural Research and Development Center, Ohio State University, PVP 8700128
Granite	Minnesota Agricultural Experiment Station, PVP 9600039
GT 1200	Agripro Seeds, Inc., PVP 7900019
GT 1250	Agripro Seeds, Inc., PVP 7900020
GT 1310	Agripro Seeds, Inc., PVP 7900021
GT 1380	Agripro Seeds, Inc., PVP 8100088
GT 1440	Agripro Seeds, Inc., PVP 8100016
Gutwein 180	Soybean Research Foundation, Inc., PVP 7700036
Gutwein 221	Soybean Research Foundation, Inc., PVP 7900108
Gutwein 225	Soybean Research Foundation, Inc., PVP 8300093
Gutwein 421	Soybean Research Foundation, Inc., PVP 7800051
H1	Circa 1943
H2	Circa 1943
H257-463	T95=Manchu line A
H3	Circa 1943
H4	Circa 1943
H5S	Elite selection from H5
H8448	Monsanto Technology, LLC, PVP 9200268
H8558	Monsanto Technology, LLC, PVP 9200217
H88-2546	Novartis Seeds, Inc., PVP 9400012
Habaro	Selection from PI 20405
Haberlandt	Selection from PI 6396
Hack	PVP 8500179
Hale 3	Selection from D51-4969
Hale Ogden #12	Selection from Ogden
Hale Ogden #2	Selection from Ogden
Hamilton	PVP 9000170
Hamlin	PVP 200600185
Hampton	Released 1962, Coker's Pedigreed Seed Co.
Hardin	PVP 8100052
Harman	Selection from Manchu
Harper	Selection form an unknown diallele-cross population
Harper 87	PVP 8800087
Harrel	Farmer selection
Hartz 4152	Monsanto Technology, LLC, PVP 9600048
Hartz 4464	Monsanto Technology, LLC, PVP 9200153
Hartz 4994	Monsanto Technology, LLC, PVP 9600142
Hartz 4994RR	Monsanto Technology, LLC, PVP 9800025
Hartz 4998RR	Monsanto Technology, LLC, PVP 9700341
Hartz 507	Monsanto Technology, LLC, PVP 9200205
Hartz 5088	Monsanto Technology, LLC, PVP 9200208
Hartz 5164	Monsanto Technology, LLC, PVP 8700204
Hartz 5171	Monsanto Technology, LLC, PVP 8300126
Hartz 5240	Monsanto Technology, LLC, PVP 9200067
Hartz 5252	Monsanto Technology, LLC, PVP 8300130
Hartz 5350	Monsanto Technology, LLC, PVP 9400207
Hartz 5370	Monsanto Technology, LLC, PVP 8300128
Hartz 5566	Monsanto Technology, LLC, PVP 9200206
Hartz 564	Monsanto Technology, LLC, PVP 9700342
Hartz 608	Monsanto Technology, LLC, PVP 9300072
Hartz 6130	Monsanto Technology, LLC, PVP 8600014
Hartz 616	Monsanto Technology, LLC, PVP 9600325
Hartz 6200	Monsanto Technology, LLC, PVP 8900154
Hartz 6255	Monsanto Technology, LLC, PVP 9600143
Hartz 6372	Monsanto Technology, LLC, PVP 8900264
Hartz 6383	Monsanto Technology, LLC, PVP 8300127
Hartz 6383R	Monsanto Technology, LLC, PVP 8600044
Hartz 6385	Monsanto Technology, LLC, PVP 8800008
Hartz 639	Monsanto Technology, LLC, PVP 9000225
Hartz 6397	Monsanto Technology, LLC, PVP 9300077
Hartz 6686	Monsanto Technology, LLC, PVP 8900155
Hartz 7110	Monsanto Technology, LLC, PVP 8700044
Hartz 7126	Monsanto Technology, LLC, PVP 8300129
Hartz 7190	Monsanto Technology, LLC, PVP 9000214
Hartz 8112	Monsanto Technology, LLC, PVP 8600015
Hartz 914	Monsanto Technology, LLC, PVP 9000083
Hartz 9190	Monsanto Technology, LLC, PVP 8600043
Hartz 922	Monsanto Technology, LLC, PVP 9000178
Hartz 930	Monsanto Technology, LLC, PVP 8200127
Hartz 936X	Monsanto Technology, LLC, PVP 8100080
Hartz H4464	PVP 9200153
Haskell-RR	Actual parentage not specified
Hawkson	Identity Seed and Grain Company, PVP 8600079
Hayes	PVP 9000045
Hayseed	Selected from PI 71525, Nanking, Cn 1927
HBK 5990	PVP 9800152; Hornbeck Seed Co.
HBK 5991	PVP 200000108; Hornbeck Seed Co.
HBK 6600	Hornbeck Seed Company, Inc., PVP 9800138
HC Gnome Rps1-k	PVP 8700097
HC Hobbit BC	PVP 9000013
HC Sprite BC	PVP 9000014
HC74-643RE	doi:10.2135/cropsci2004.6990
HC77-2204	PVP 8700098
HC78-676	doi:10.2135/cropsci2004.6990
HC85-2206	Parentage conflict. NUST 2012
Hei Nong 37	Introduction
Heinong 44	Land race?
Henderson	CV-509, F5:F6, PVP 201200306
Hendricks	PVP 9400198
Herman	Introduction; Introduced from Haut-Zaire, Zaire ca. 1958
HF91-078	PVP 9600408
HHP	From Hadley, From Hadley
HI0912797	Syngenta Crop Protection AG, PVP 201200389
HI1016529	Syngenta Crop Protection AG, PVP 201300401
HI1016622-2	Syngenta Crop Protection AG, PVP 201300416
HI1016703-1	Syngenta Crop Protection AG, PVP 201300417
HI1016703-2	Syngenta Crop Protection AG, PVP 201300402
HI1017010	Syngenta Crop Protection AG, PVP 201300403
HI1018109	Syngenta Crop Protection AG, PVP 201300404
HI1019014-1	Syngenta Crop Protection AG, PVP 201300400
HI1110907	Syngenta Crop Protection AG, PVP 201300415
HI1112509	Syngenta Crop Protection AG, PVP 201400273
HI1114914	Syngenta Crop Protection AG, PVP 201400274
HI1115518-1	Syngenta Crop Protection AG, PVP 201400275
Higan	Selection from PI 80475
Highpro1	CV-521
Hinson Long Juvenile	Florida Agricultural Experiment Station University of Florida, IFAS, PVP 200400032
HM8469	PVP 8700125; L24 is closely related to L24A which was released as Williams 82
HM8471	PVP 8700126
HM8482	PVP 9000045
HM8597	PVP 9100173
HM8625	PVP 9100172
Hobbit 87	PVP 9000013
Hobson	Soybean Research Foundation, Inc., PVP 7900109
Hodgson	PVP 7400106; Buff hilum seeds were determined to be superior to yellow and became Hodgson
Hodgson 78	PVP 7800085
Hokien	unknown; similar to Capital
Holmberg 827-4	Bulletin 1846
Holmberg 840-2-7	Introduction
Hong Kong	Introduction
HP 20-20	Agripro Seeds, Inc., PVP 8000070
HP 2530	Advanta USA, Inc., PVP 8100105
HP 3033S	Advanta USA, Inc., PVP 8300025
HP 3700	Agripro Seeds, Inc., PVP 8100106
HP 4800	Advanta USA, Inc., PVP 8200073
HR09-008	CV-521
HS 220	Agripro Seeds, Inc., PVP 8100007
HS 235	Advanta USA, Inc., PVP 8100008
HS 2455	Growmark, Inc., PVP 8900148
HS 2533	Growmark, Inc., PVP 9000159
HS 265	Agripro Seeds, Inc., PVP 8100009
HS 266	Growmark, Inc., PVP 8900146
HS 2821	Growmark, Inc., PVP 8900149
HS 302	Growmark, Inc., PVP 8700037
HS 321	Growmark, Inc., PVP 8700038
HS 339	Growmark, Inc., PVP 8700052
HS 348	Growmark, Inc., PVP 8700039
HS 358	Growmark, Inc., PVP 8900147
HS 4011	Growmark, Inc., PVP 8900150
HS6-3976	NAM Strain
HS90-3653	PVP 9600121
HS91-4523	PVP 9700106
HS94-4530	sister line of Kottman
HS94-4533	sister line of Kottman
HS94-4544	PVP 200000127
HS99-5217	progenitor of Dennison
HSC 591	Advanta USA, Inc., PVP 9200187
HSC 623	Advanta USA, Inc., PVP 9200105
HSC 721	Advanta USA, Inc., PVP 9000111
HSC 741	Advanta USA, Inc., PVP 9300228
HSC B2J	PVP 8800147, Hyperformer Seed, Co.
HSC Baldwin	Advanta USA, Inc., PVP 8800146
HT261 STS	Genecorp, Inc., PVP 9500004
HT331 STS	Genecorp, Inc., PVP 9500005
HT381 STS	Genecorp, Inc., PVP 9500006
HT4203	Stanford Seed Company, PVP 8400070
HT5203	Stanford Seed Company, PVP 8400069
HT551STS	Genecorp, Inc., PVP 9600219
Hudson Manchu	Selection from Manchu, PI 30.593 from Heilongjiang, China
Hutcheson-RR	presumably based on Hutcheson
HW74-3384	PVP 8100163
HW74-3385	PVP 8200174
HW74-3884	PVP 8100163
HW74-618	PVP 8000033, 
HW79002	sib to OX720-26
HW8033	PVP 8500059
HW8067	PVP 8700007 
HW8185	PVP 8500058
HW8225	EMS isoline mutant
HW8236	EMS isoline mutant
Hy 574	PVP 9500164; Hyperformer Seed Co., Agripro Seeds Inc.
HY 663	Advanta USA, Inc., PVP 9700297
HY 798	University of Georgia Research Foundation, Inc., PVP 9400020
Hyuuga	Tofu line from Kyushu Isl. Japan, JPR 2011 5:118-122
Ike	V. R. Seeds, Inc., PVP 7700081
Illini	Selection from A.K. ca. 1920
Illini sel.	Selection from Illini
Iroquois	PVP 9600137
Iyo	Landrace; Japan
J-112	The Lubrizol Corporation, PVP 8100092
J-231	The Lubrizol Corporation, PVP 8500173
J-72	The Lubrizol Corporation, PVP 8400079
J-8287	The Lubrizol Corporation, PVP 8400080
J-8389	The Lubrizol Corporation, PVP 8400081
J-84A	Jacques Seed Company, PVP 7700055
J.E.W. 45	Mixed seed lot
J103	PVP 8100091
J335752	Syngenta Seeds, Inc., PVP 9900315
J74-90	Developed by E.E. Hartwig
J82	The Lubrizol Corporation, PVP 8400009
JA42	Japanese, probably PI 317335
JA53-7-6	Selection from PI 358323
Jack	PVP 9000171
Jacques J103	PVP 8100091
Jim	PVP 9800160
Jizuka	Introduction; Maybe PI 561385
Jogun	Introduction; North Korea ca. 1930, released ca. 1957, Or maybe PI 548352
JTN-4119	new SCN resistance source
JTN-4307	GP-407, SCN, F4
JTN-4308	SCN
JTN-4408	SCN
JTN-4507	SCN
JTN-4508	SCN
JTN-4607	SCN
JTN-4619	new SCN resistance source
JTN-5107	SCN
JTN-5108	SCN
JTN-5110	SCN
JTN-5111	unique SCN
JTN-5203	SCN; >25 % exotic, F17, Conv., FLS
JTN-5208	SCN
JTN-5209	unique SCN
JTN-5211	SCN
JTN-5308	SCN
K-77	Nixon Seed Company and L. Krietemeyer, PVP 7800015
K1019	PVP 7800077
K1024	PVP 8100031
K1033	PVP 8100148
K12-1575	Reselection
K13-1830	F4, Conv.
K14-1686	F5, Conv.
K14-1717	Conv., F5
K14-1719	Conv., F5
K14-1726	F5, Conv.
K15-1681	F5, STS, Conv.
K15-1755	F5, Conv.
K15-1788	F5, Conv.
K15-1800	F5, Conv.
K15-1809	F5, Conv.
K15-1853	F5, Conv., STS
K15-1854	F5, Conv., STS
K15-1855	F5, Conv., STS
K15-1874	F5, Conv.
K15-1891	F5, Conv., STS
K15-1992	F5, Conv.
K1550RR	P5
K1639	F5
K1639-2	F8 single-plant selection
K22-3-B-1	PI 196491 (Fiskeby III sib)
K646	Records destroyed by fire
K701	Records destroyed by fire
K81-27-278	PVP 9200077
K87	King Agro Inc., PVP 8900144
Kabott	Introduction; From Heilongjiang, China
Kagon	unknown, from Wisconsin
Kanro	Selection from PI 84928, Pyongyang, N. Korea 
Kantou 60	Introduction; Ibaraki, Japan
Kasota	PVP 9100025
Kato	PVP 9000028
Keller	PVP 8400083
Kenwood	PVP 9000039 
KG20	Literature reports parents as McCall x 2S11. PVP has SA198 x 2S11
KG2007	King Grain, Inc., PVP 8500175
KG30	King Grain, Inc., PVP 8500022
KG60	King Grain, Inc., PVP 8500175
KG70	King Grain, Inc., PVP 8500024
Kingwa	Rogue selection from Peking ca. 1921
Kisaya	Introduction; Kagoshima , JP
Kogane-Jiro	Introduction; may be PI 317335
Korean	Introduction; introduced from China, probably Korean, release ca. 1928
Kosuzu	Tohoku National Agricultural Experiment Station, Ministry of Agriculture, Forestry and Fisheries, PVP 9000110
Kottman	PVP 200000127
KS3494	PVP 9500130
KS4694	PVP 9500131
KS4895	PVP 9600287
KS4997	PVP 9800124
KS5292	PVP 9200077
KY78-1214	EMS mutant
KY79-0237	PVP 8700164
KY88-5037	DeKalb Pfizer; PVP 9500236; CV-343 
L-Star	National Agricultural Research Organization, PVP 200300229
L.Z.	Re-named
L1	CV-42
L12A	Selection for yield from L12
L1771	Land O Lakes, Inc., PVP 8500140
L21	CV-158
L22	CV-223
L23	CV-221
L2330	Land O Lakes, Inc., PVP 8500141
L2333	Land O Lakes, Inc., PVP 9000143
L24	Williams backcross population, closely related to Williams 82
L24A	Composite of 4 Phytopthora resistant F3BC6 lines selected for similarity to Williams; CV-222
L2A	Selection for yield from L2
L34-12	Selection from mixed hybrid population
L34-42	Selection from mixed hybrid population
L34-432	Selection from mixed hybrid population
L34-45	Selection from mixed hybrid population
L34-506	Selection from mixed hybrid population
L36-13	Selection from mixed hybrid population
L36-23	Selection from mixed hybrid population
L36-685	CV-5
L37-1355	Rogue selection from PI 81041
L37-923	Selection from mixed hybrid population
L4404	Land O Lakes, Inc., PVP 8000125
L46-8275	CV-19
L49-5138	CV-20
L49-5139	CV-33
L57-2222	CV-51
L59g-1R	CV-41
L59g-2R	CV-40
L66L-108	CV-94
L66L-172	CV-116
L7-1355	Rogue selection from PI 81041
L70T-543G	Selection from L70T-543
L70T543G	doi:10.2135/cropsci2004.6990
L71L-436	L12 isoline of Clark 63 equivalent to Clark 63; CV-144
L71L-556	Wayne-Ir Rpm Rps
L71L-57	L15 = Wayne Rps
L71L-77	L15 = Wayne Rps
L73-4673	L66L-154 (Williams sib)
L73-6536	Subline of Franklin
L73-811	Parentage uncertain, maybe a selection from Clark
L73D-195	PVP 8000034; CV-149
L74D-609	PVP 8100162
L74D-611	CV-150
L74D-618	CV-151
L74D-619	doi:10.2135/cropsci2004.6990
L74L-125	CV-224
L75-3632	Sister line to Corsoy 79
L75-3674	CV-220
L75-8020	Phytophthora rot resistant selection
L78-1444	CV-225
L80-3049	L77-994 subline; CV-226
L80-4323	L77-994 subline
L80-4349	L77-994 subline
L81-4590	PVP 9000169
L82C-1246	CV-270
L83-3804	PVP 9200229
La48-268	Nanking, Cn
La49-89-6	Selection from La40-242
Lakota	PVP 8200049, Selection from AP6 population created by Fehr and Ortiz from 40 strains (Crop Sci. 15:739, 1975)
Lambert	PVP 9200243
LaMoure	NDSU Research Foundation, PVP 200400154
LaMoure-1	Selection from LaMoure
Lan	Selection from PI 597397 B
Lancer	Novartis Seeds, Inc., PVP 7600044
Land O Lakes 4102	Parentage conflict. Crop Sci 1999 39:592
Land O Lakes L4104	Land O Lakes, Inc., PVP 8100142
Land O Lakes L4106	Land O Lakes, Inc., PVP 8200136
Land O Lakes L4204	Land O Lakes, Inc., PVP 8200133
Land O Lakes L4207	Land O Lakes, Inc., PVP 8200134
Land O Lakes L4303	Land O Lakes, Inc., PVP 8200135
Land O Lakes L4404	Land O Lakes, Inc., PVP 8000125
Land O Lakes L4503	Land O Lakes, Inc., PVP 8000126
Land O Lakes L4504	Land O Lakes, Inc., PVP 8000127
Land O Lakes Max	Land O Lakes, Inc., PVP 7700062
Land O Lakes L4404	Introduction; Donated Ca. 1935, Origin Unknown
Laredo	Black seeded edamame
Late Giant	CV-224
LD00-2817	F5
LD00-3296	NAM strain
LD00-5038	NAM Strain
LD02-7222P	NAM Strain
LD06-7596	Conv.
LD06-7648	F5
LD07-3395bf	Reselection
LD09-13023a	GP-386
LD10-10226	GP-387
LD10-13091	GP-389
LD10-14205	GP-388
LD10-14274	GP-385
LD10-14284	GP-384
LD10-2477	GP-383
LDXPRE18501R2-9-4-1	CV-23
Lee	CV-72; Derived from 30 F4 lines from Lee (6) x Arksoy
Lee 74	PVP 8500074
LEO 3140-07	PVP 9200019
LG00-3056	NAM Strain; GP-376
LG02-4198	Introduction
LG03-2866	NAM Strain
LG03-3020	NAM Strain
LG03-3780	DIV
LG03-6296	Diversity
LG04-4468	NAM Strain
LG04-5993	GP-379, NAM Strain
LG05-4229	NAM Strain
LG05-4292	NAM Strain
LG05-4317	NAM Strain
LG05-4550	NAM Strain
LG06-2354	MD selection
LG06-4526	MD selection
LG06-4702	GP-382, F3
LG07-6944	Reselection from LG07-8109
LG11-7931	Conv
LG11-8169-007F	Conv
LG90-2179	NAM Strain
LG91-7323	Parentage conflict. NUST 2012
LG92-12	NAM Strain
LG92-1350	GP-302
LG94-1098	NAM Strain; GP-303
LG94-1128	NAM Strain
LG94-1713	NAM Strain
LG97-5474	NAM Strain; GP-317 
LG97-9912	GP-318
LG98-1454	NAM Strain
LG99-8929	CV-5
Lincoln	CV-31
Lindarin	CV-37
Line 8	CV-270
Linford	Selection from Manchu
LLL05-14	CV-239
LN1067	PVP 8500179
LN80-8259	PVP 8700073
LN81-1044	PVP 9000170
LN82-4433	PVP 8900194
LN83-2356	PVP 9000171
LN85-6800	PVP 9000172
LN86-1088	GP-120
LN87-2112	PVP 9600137
LN88-10534	CV-350
LN89-295	CV-383
LN89-3615	F3, Resistant to SCN Races 2, 3, 5 and 14.
LN89-5717	CV-369
LN90-4524	CV-386
LN92-10507	CV-401
LN92-10725	CV-387
LN93-13684	PVP 9200075
LN95-15740	CV-423
LN97-14727	CV-465
LN98-4909	F1
LNX97164-35	CV-423
Loda	CV-189
Logan	CV-461
LS02-4045	CV-507, F5
LS201	PVP 008800018
LS78-W245	CV-210
LS83-3800	CV-333
LS89-2820	CV-394
LS93-0232	CV-436
Lt Giant	Farmer selection from Eastern Shore of Maryland
Luthy	Brazilian cultivar
LV 75	Conv.
LW13-2096	Conv.
LX579-93	CV-323
Lyon	Minnesota Agricultural Experiment Station, PVP 200100175
M04-419020	Selection of a White-flowered off type
M15-203075	EMS mutant line of CX1515-4; DOI:10.2135/cropsci2000.4061601x
M153	Selection from mutagenized CX1515-4
M406	Selection from PI 132207
M55-67	Originally 554-5
M61-60	PVP 7400105
M63-194	PVP 7400106; Population produced both buff and yellow hilum, Mixture tested
M63-217	PVP 7400106; Population produced both buff and yellow hilum, Buff hilum selection
M63-217Bf	PVP 7400106; Population produced both buff and yellow hilum, Yellow hilum selection
M65-217	Selection from O57-2921
M70-128	PVP 8400053
M70-135	PVP 8300012
M71-39	PVP 8400052
M73-93	PVP 8700209
M74-349	CV-183
M74-55	PVP 8600137
M74-69	PVP 7800085
M75-244	PVP 8600138
M77-218	CV-275
M77-75	Monsanto Technology, LLC, PVP 8600107
M81-381	PVP 9000028
M81-382	PVP 9000027
M81-610	Seed from double embryo of unknow parentage
M82-1027	PVP 9100025
M82-996	PVP 9200019
M83-830	PVP 9200018
M84-850	PVP 9200244
M85-582	PVP 9300017 
M86-2337	PVP 9000046
M87-727	PVP 9600038
M96-136016	Parentage conflict. NUST 2007
M96-71481	Cultivar derived from F2 generation seed 
M99-386097	Derived from a bulk of F4 lines from the cross
Macon	Selection from Mammoth Yellow
Madison GL2810	PVP 9600319
Magna	Possibly PI 85537 but from Korea not China; Not certain of origin
Magnolia	V. R. Seeds, Inc., PVP 7900106
Magnum	Coker Pedigreed Seed Co
Majos 52-87	Selection from a natural cross
Mamloxi	Grown in N. Carolina since 1880, introduced from Japan
Mamredo	Selected from PI 30593 in Heilongjiang, CN
Manchu	Selection from Manchu
Manchu 3	Selection from Manchu
Manchu 606	Selection from Manchu
Manchu 831	Presumably a selection from Manchu, No Manchu A in GRIN
Manchu A	Selection from Manchu, PI 30.593 from Heilongjiang, China
Manchu-Hudson	Selection from Manchu
Manchu-Montreal	Selection from Manchu
Manchu-Wisconsin	Selection from Manchu
Manchukota	Selection from PI 28050, Released 1912
Manchuria	Selection from variety Manchuria ca. 1913
Manchuria 13177	Selected from PI 36653
Mandarin	Selection from Mandarin ca. 1929
Mandarin-Ottawa	Selection from Mandarin, Released ca. 1943
Mandarin 507	Selection from Manchu ca. 1926, Released ca. 1934
Mandell	Introduction; Released by 1932
Manokin-742	Selected in Manchu in 1915, Heilongjiang, CN
Maple Presto	PI 196491 (Fiskeby III sib)
Maple Ridge	PVP 9000040
Marcus BC	PVP 7700051
Marion	Improved Variety Research, Inc., PVP 7200008
Marshall	Soybean Research Foundation, Inc., PVP 7700039
Masco 1976	PVP 7800052
Matsoy	PVP 9800001
McCall	farmer selection, similar to Midwest
MCH17-317065	Harris Moran Seed Company, PVP 7400026
McKoy 1100	Novartis Seeds, Inc., PVP 7605016
McNair 500	Novartis Seeds, Inc., PVP 7100075
McNair 600	Northrup King Company, PVP 7900093
McNair 700	Novartis Seeds, Inc., PVP 7900088
McNair 710	Novartis Seeds, Inc., PVP 7900089
McNair 770	Northrup King Company, PVP 7900094
McNair 780	Novartis Seeds, Inc., PVP 7100042
McNair 800	Selection from Mandarin
MD07-5092	LOW LIN
MD0708WN 21	LOW PHYTATE
MD0708WN 90	Diversity
Md0708WN93	Diversity
MD08-5141	Diversity
MD08-5809	Diversity
MD62-2313	2nd cycle of 20-line intermating from bulk population 2nd cycle of 8-line intermating (Adams, Lincoln, Perry, Wabash, C799, C985, L46-1503, FC 33.243)
Md62-3223	2nd cycle of 20-line intermating from bulk population 2nd cycle of 8-line intermating (Adams, Lincoln, Perry, Wabash, C799, C985, L46-1503, FC 33.243)
Md62-3303	Selection from intermated population of Adams, Lincoln, Perry, Wabash, C799, C985, FC33243 and L46-1503
MD62-3303-3	Selection from bulk population
MD64-338	Selection from bulk population
MD64-429	Intermated population
MD66-1058	2nd cycle of 8 line intermating (Adams, Lincoln, Perry, Wabash, C799, C985, FC33.243)
MD66-1258	Intermated population
MD70-1004-94	3rd cycle intercross of 8 lines
MD70-1212	3rd cycle of 20-line intermating from bulk population 2nd cycle of 8-line intermating (Adams, Lincoln, Perry, Wabash, C799, C985, L46-1503, FC 33.243)
Md70-2221	3rd cycle intercross of 8 lines
Md85-5376	PVP 9200074
MD86-5788	PVP 9600329
MD99-1411-1 RR	(low palmitic), (low palmitic)
MD99-173-11	low palmitic
ME3908128	Selection from PI 194644; From Sweden ca. 1951
Me57B	Selection from PI 194645; From Sweden ca. 1951
ME6400079	PVP 8100139
Mead	PI uncertain PI 157451, 548384, 6335 or 4628
Merschman Washington V	Virginia Tech Intellectual Properties, Inc., PVP 200500008
MFL-159	Virginia Polytechnic Institute and State University and VTIP, Inc., PVP 9400069
MFL-551	Virginia Polytechnic Institute and State University, PVP 9700410
MFL-552	Virginia Tech Intellectual Properties, Inc., PVP 201000095
MFS-541	PVP 9900135
MFS-553	Virginia Tech Intellectual Properties, Inc., PVP 201400095
MFS-561	Montague Farms Inc., Center Cross, VA
MH5817653	PVP 8400084 
Miami	Selection from PI 6556
Miles	Introduction; Introduced by a farmer Richard Miller, Arcanum, OH from Korea
Miller-BC	Selection from Manchu
Mingo	U.S. Government, as represented by the Secretary of Agriculture, PVP 200700279
MiniMax	PVP 9000046
Minnatto	Selection from PI 27890
Minsoy	Selection from PI 71664
Missoy	Introduction; PI 423912
Misuzu Daizu-BB	PVP 7300054
Mitchell	Novartis Seeds, Inc., PVP 8200162
Mitchell 410	Novartis Seeds, Inc., PVP 7900046
MLG03-4069017	Selection from Manchu
MM-15	Selection from Manchu
MM-21	Selection from Manchu
MM-31	Selection from Manchu ca. 1926, Released ca. 1934
MM-35	Selection from Manchu
MN0107	PVP 200200085
MN0201	Lamb/ResnikBC2 Cultivar derived from F2 generation seed
MN0208CN	PVP 9800098
MN0304	Lamb/ResnikBC2 Cultivar derived from F2 generation seed
MN0504	SCN
MN0807SP	Minnesota Agricultural Experiment Station, PVP 200000146
MN0901	PVP 200100113
MN1003SP	Cultivar derived from F2 generation seed
